PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
347,2284296698,9.89892,-0.961077,-0.52744,-1.589921,1.843929,1.438672,0.521166,0.413675,-0.594609,0.451326,9.904647827812969,-0.9631183650681393,-0.5193555500200413,-1.740477160545727,1.8577734421930021,1.4678036039333189
348,2284313365,9.901477,-0.946482,-0.522505,-1.758824,1.903824,1.584331,0.521149,0.413673,-0.594601,0.451357,9.903081504837637,-0.9650136185912495,-0.515258475668205,-1.8438544614176515,1.8563780032105188,1.511434853622932
349,2284330032,9.906699,-0.975181,-0.483143,-2.076345,1.878544,1.554467,0.52117,0.413625,-0.594632,0.451336,9.899591471619066,-0.9719315039590102,-0.5100795106195364,-1.889925861482077,1.8409900082968604,1.5016239544476295
350,2284346699,9.89779,-0.989574,-0.522778,-1.98848,1.762646,1.423035,0.521197,0.413586,-0.594671,0.451289,9.897184511144482,-0.97739745264819,-0.5090203502536809,-1.8637149399897686,1.8207897224281435,1.4524227602450372
351,2284363366,9.888127,-0.989541,-0.52416,-1.680771,1.816517,1.377913,0.521198,0.413593,-0.594666,0.451289,9.898056152826165,-0.9766333560623761,-0.5142452650644657,-1.8166887622682677,1.8173681918405158,1.4141551844559028
352,2284380033,9.901045,-0.95405,-0.503944,-1.669794,1.884141,1.369274,0.521193,0.41361,-0.594646,0.451305,9.901345154284757,-0.9715791281720358,-0.5230593425310047,-1.8228188792626834,1.8462950191404794,1.4268011650771135
353,2284396700,9.910434,-0.960172,-0.536564,-1.925857,1.844684,1.537306,0.521192,0.413593,-0.594658,0.451307,9.903425352227249,-0.9686717353275034,-0.5298740091983208,-1.9018807756269045,1.901475414727737,1.4815138683962819
354,2284413367,9.902561,-0.987027,-0.536904,-2.164196,1.975757,1.53194,0.521227,0.413535,-0.594685,0.451283,9.901254135646488,-0.971908802716249,-0.5301806299235505,-1.9963687671839077,1.9567788028079618,1.528492632701256
355,2284430034,9.898128,-0.964802,-0.526054,-1.992041,2.009233,1.553583,0.521222,0.413529,-0.594669,0.451315,9.895736224132172,-0.978827726535974,-0.524121794885842,-2.0299854532823933,1.984695114517027,1.523133684654658
356,2284446701,9.887066,-0.994167,-0.511544,-2.023544,2.000793,1.479012,0.521243,0.4135,-0.594671,0.451314,9.891309986546839,-0.983207453594263,-0.5168446048907633,-1.9813082773758697,1.9780894994505922,1.4664956714493869
357,2284463368,9.883031,-0.986822,-0.508464,-1.809448,1.932395,1.373603,0.521252,0.413502,-0.594658,0.45132,9.891731847084195,-0.9812947271264257,-0.5145571777290442,-1.894830421347056,1.9561906184992353,1.4035577560282544
358,2284480035,9.900591,-0.969025,-0.526943,-1.753215,1.909843,1.329216,0.521273,0.413494,-0.594653,0.451309,9.89631225803429,-0.975469084699619,-0.5191839380796993,-1.8274219715920927,1.9473652267326196,1.3822362910722379
359,2284496702,9.907294,-0.972966,-0.520014,-1.833165,1.964283,1.420282,0.521283,0.413488,-0.594642,0.451318,9.900660385863537,-0.9719456609893423,-0.5262982194356932,-1.7958082143379563,1.9634290747478076,1.4111553513245145
360,2284513369,9.900954,-0.964954,-0.527266,-1.870368,2.043516,1.49114,0.521295,0.413471,-0.594628,0.451338,9.901236208611625,-0.9746344195405303,-0.528350187127734,-1.7795510420818774,1.9895758284891532,1.454344368792819
361,2284530036,9.9026,-0.980232,-0.534443,-1.852131,1.965513,1.503139,0.521305,0.41345,-0.594627,0.451347,9.89886719942193,-0.981098634637372,-0.520943861210656,-1.7648441745944647,1.9980726778731452,1.4659496662711198
362,2284546703,9.884345,-0.999067,-0.500153,-1.596824,1.977742,1.398754,0.521296,0.413472,-0.594591,0.451385,9.897548662887719,-0.9848467462628345,-0.5073759938305784,-1.767926907162971,1.9715957762355933,1.4311955183006195
363,2284563370,9.905048,-0.985222,-0.50461,-1.784782,1.902313,1.377893,0.521301,0.413477,-0.594579,0.45139,9.899993929246504,-0.9818916175604439,-0.49727112151085984,-1.807865446505954,1.917649401450039,1.3774152840451177
364,2284580037,9.901098,-0.967977,-0.484986,-1.855986,1.921855,1.313515,0.521327,0.413466,-0.594576,0.451374,9.904780441049432,-0.9748648507330621,-0.49926487108475187,-1.8679703649603532,1.8664609172158637,1.3500426734840245
365,2284596704,9.918244,-0.958445,-0.505504,-2.036517,1.805292,1.406067,0.521321,0.413476,-0.594575,0.451373,9.907958720673086,-0.9704705180829094,-0.513161168564096,-1.902072402319309,1.8540104296932567,1.3780541987242971
366,2284613371,9.910174,-0.980487,-0.544198,-1.941353,1.914607,1.486235,0.521327,0.413461,-0.594577,0.451378,9.90704743734067,-0.9732506513445085,-0.528752301784548,-1.8824297784824284,1.8968751205737582,1.4548529813033126
367,2284630038,9.887231,-0.991824,-0.537045,-1.683651,1.92571,1.482354,0.521312,0.413476,-0.594553,0.451414,9.903044512122,-0.9820179788317318,-0.5333731572639973,-1.8296089653626304,1.9732669468022945,1.5419638780447185
368,2284646705,9.904732,-0.980868,-0.519125,-1.738731,2.007133,1.59327,0.521331,0.413428,-0.594564,0.45142,9.898898758214688,-0.991397972998657,-0.5221882470280482,-1.7872636188383106,2.0289667864000904,1.5889666834045766
369,2284663372,9.897266,-0.999852,-0.503555,-1.827786,2.140434,1.594653,0.521346,0.413394,-0.59455,0.451452,9.896992954817202,-0.9957165912472095,-0.502371053167415,-1.7749777193247902,2.013190619171889,1.5613951593735997
370,2284680039,9.907612,-0.986485,-0.48657,-1.857792,1.890979,1.488591,0.521342,0.413391,-0.594546,0.451466,9.89829092097675,-0.9920129587247938,-0.4876722387750225,-1.776211532543057,1.92055084940468,1.4656799770155582
371,2284696706,9.898643,-0.992966,-0.47985,-1.694562,1.780896,1.356276,0.521305,0.413449,-0.594509,0.451504,9.902550440007056,-0.9813839140775505,-0.48784233214515427,-1.7698250403567695,1.8006035258724493,1.3532486798771073
372,2284713373,9.887733,-0.958905,-0.494868,-1.825763,1.635019,1.242389,0.521288,0.413494,-0.594502,0.451492,9.907938813509164,-0.9687461103028235,-0.5012419596576488,-1.7623609943801097,1.7214611086302722,1.2921641911082618
373,2284730040,9.931403,-0.967455,-0.527336,-1.763101,1.793638,1.298916,0.521285,0.413516,-0.59449,0.45149,9.910976054723168,-0.9606451611446243,-0.5165570370016191,-1.7837691191991445,1.7186602262591317,1.320937535820058
374,2284746707,9.908936,-0.957451,-0.536517,-1.767251,1.749495,1.429374,0.521263,0.413539,-0.594483,0.451503,9.90880093472122,-0.9614694352320414,-0.5224066300607656,-1.8525874013503076,1.7744540255893408,1.4207490158411316
375,2284763374,9.902778,-0.964237,-0.505275,-1.955517,1.877328,1.573395,0.521268,0.413509,-0.5945,0.451502,9.90240740776441,-0.9702038408583051,-0.516686364369179,-1.9479688472921548,1.8406086392018495,1.531300305525198
376,2284780041,9.892103,-0.985159,-0.50613,-2.114482,1.878019,1.605692,0.521249,0.413507,-0.594499,0.451527,9.896804354206077,-0.9805161352912424,-0.5073422007657507,-2.0196456065805144,1.8783616573150486,1.5978658446216263
