participant_id,activity,sensor,source_file,curated_file,row_count,output_rate,start_time,first_sample_time,last_sample_time,packet_integrity,synchronization_status,inclusion_status,exclusion_reason,notes
P01,jogging,thigh_r,PrePilot_Test/Jogging/Thigh_Right/ DOT_Thigh_R_P01.csv,data/raw/xsens_imu/pre_pilot/jogging/P01/thigh_r.csv,7223,60Hz,2026-09-15_18:07:21_962 GMT+8,888810480,1009179554,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,jogging,shank_l,PrePilot_Test/Jogging/Shank_Left/DOT_Shank_L_P01.csv,,618,60Hz,2026-09-15_18:03:14_321 GMT+8,641172194,651455733,OK,NOT_SYNCHRONIZED,VALID_BUT_NOT_SYNCHRONIZED,Valid export does not belong to selected synchronized session cluster,
P01,jogging,shank_r,PrePilot_Test/Jogging/Shank_Right/DOT_Shank_R_P01.csv,data/raw/xsens_imu/pre_pilot/jogging/P01/shank_r.csv,7222,60Hz,2026-09-15_18:07:21_968 GMT+8,888827147,1009179554,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P02,standing,pelvis,PrePilot_Test/Standing/Pelvis/ DOT_Pelvis_P02.csv,data/raw/xsens_imu/pre_pilot/standing/P02/pelvis.csv,529,60Hz,2026-09-15_18:19:32_835 GMT+8,1619718570,1628518746,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P02,standing,thigh_l,PrePilot_Test/Standing/Shank_Left/DOT_Thigh_L_P02.csv,data/raw/xsens_imu/pre_pilot/standing/P02/thigh_l.csv,527,60Hz,2026-09-15_18:19:32_846 GMT+8,1619701903,1628468745,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P02,standing,thigh_r,PrePilot_Test/Standing/Thigh_Right/ DOT_Thigh_R_P02.csv,,860,60Hz,2026-09-15_18:32:12_517 GMT+8,2379390771,2393707724,OK,NOT_SYNCHRONIZED,VALID_BUT_NOT_SYNCHRONIZED,Valid export does not belong to selected synchronized session cluster,
P02,standing,shank_l,PrePilot_Test/Standing/Thigh_Lef/DOT_Shank_L_P02.csv,,0,60Hz,2026-09-15_18:32:12_522 GMT+8,,,NO_DATA_ROWS,,EXCLUDED_EMPTY,Source export has metadata/header but 0 data rows,
P02,standing,shank_r,PrePilot_Test/Standing/Shank_Right/DOT_Shank_R_P02.csv,data/raw/xsens_imu/pre_pilot/standing/P02/shank_r.csv,530,60Hz,2026-09-15_18:19:32_848 GMT+8,1619701903,1628518746,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P02,squat,pelvis,PrePilot_Test/SQUAT/Pelvis/ DOT_Pelvis_P02.csv,data/raw/xsens_imu/pre_pilot/squat/P02/pelvis.csv,680,60Hz,2026-09-15_18:20:33_379 GMT+8,1680253114,1691570007,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P02,squat,thigh_l,PrePilot_Test/SQUAT/Thigh_left/DOT_Thigh_L_P02(1).csv,data/raw/xsens_imu/pre_pilot/squat/P02/thigh_l.csv,679,60Hz,2026-09-15_18:20:33_390 GMT+8,1680236447,1691536673,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster | Other source exports: PrePilot_Test/SQUAT/Thigh_left/DOT_Thigh_L_P02.csv rows=0 start=2026-09-15_18:33:20_902 GMT+8
P02,squat,thigh_r,PrePilot_Test/SQUAT/Thigh right/ DOT_Thigh_R_P02.csv,data/raw/xsens_imu/pre_pilot/squat/P02/thigh_r.csv,680,60Hz,2026-09-15_18:20:33_388 GMT+8,1680253114,1691570007,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P02,squat,shank_l,PrePilot_Test/SQUAT/Shank_left/DOT_Shank_L_P02.csv,data/raw/xsens_imu/pre_pilot/squat/P02/shank_l.csv,681,60Hz,2026-09-15_18:20:33_393 GMT+8,1680236447,1691570007,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
